Date,Open,High,Low,Close,Adj Close,Volume
2023-03-07,256.299988,257.690002,253.389999,254.149994,252.081085,21473200
2023-03-08,254.039993,254.539993,250.809998,253.699997,251.634766,17340200
2023-03-09,255.820007,259.559998,251.580002,252.320007,250.266006,26653400
2023-03-10,251.080002,252.789993,247.600006,248.589996,246.566345,28333900
2023-03-13,247.399994,257.910004,245.729996,253.919998,251.852966,33339700
2023-03-14,256.750000,261.070007,255.860001,260.790009,258.667053,33620300
2023-03-15,259.980011,266.480011,259.209991,265.440002,263.279175,46028000
2023-03-16,265.209991,276.559998,263.279999,276.200012,273.951630,54768800
2023-03-17,278.260010,283.329987,276.320007,279.429993,277.155304,69527400
2023-03-20,276.980011,277.480011,269.850006,272.230011,270.013916,43466600
2023-03-21,274.880005,275.000000,269.519989,273.779999,271.551300,34558700
2023-03-22,273.399994,281.040009,272.179993,272.290009,270.073456,34873300
2023-03-23,277.940002,281.059998,275.200012,277.660004,275.399750,36610900
2023-03-24,277.239990,280.630005,275.279999,280.570007,278.286041,28172000
2023-03-27,280.500000,281.459991,275.519989,276.380005,274.130157,26840200
2023-03-28,275.790009,276.140015,272.049988,275.230011,272.989532,21878600
2023-03-29,278.959991,281.140015,278.410004,280.510010,278.226532,25087000
2023-03-30,284.230011,284.459991,281.480011,284.049988,281.737701,25053400
2023-03-31,283.730011,289.269989,283.000000,288.299988,285.953064,32766000
2023-04-03,286.519989,288.269989,283.950012,287.230011,284.891815,24883300
2023-04-04,287.230011,290.450012,285.670013,287.179993,284.842194,25824300
2023-04-05,285.850006,287.149994,282.920013,284.339996,282.025299,22064800
2023-04-06,283.209991,292.079987,282.029999,291.600006,289.226196,29770300
2023-04-10,289.209991,289.600006,284.709991,289.390015,287.034241,23103000
2023-04-11,285.750000,285.980011,281.640015,282.829987,280.527618,27276600
2023-04-12,284.790009,287.010010,281.959991,283.489990,281.182251,27403400
2023-04-13,283.589996,289.899994,283.170013,289.839996,287.480530,24222700
2023-04-14,287.000000,288.480011,283.690002,286.140015,283.810699,20987900
2023-04-17,289.929993,291.600006,286.160004,288.799988,286.449036,23836200
2023-04-18,291.570007,291.760010,287.010010,288.369995,286.022522,20161800
2023-04-19,285.989990,289.049988,284.540009,288.450012,286.101898,17150300
2023-04-20,285.250000,289.029999,285.079987,286.109985,283.780914,23244400
2023-04-21,285.010010,286.269989,283.059998,285.760010,283.433807,21676400
2023-04-24,282.089996,284.950012,278.720001,281.769989,279.476227,26611000
2023-04-25,279.510010,281.600006,275.369995,275.420013,273.177979,45772200
2023-04-26,296.700012,299.570007,292.730011,295.369995,292.965546,64599200
2023-04-27,295.970001,305.200012,295.250000,304.829987,302.348541,46462600
2023-04-28,304.010010,308.929993,303.309998,307.260010,304.758759,36446700
2023-05-01,306.970001,308.600006,305.149994,305.559998,303.072632,21294100
2023-05-02,307.760010,309.179993,303.910004,305.410004,302.923828,26404400
2023-05-03,306.619995,308.609985,304.089996,304.399994,301.922058,22360800
2023-05-04,306.239990,307.760010,303.399994,305.410004,302.923828,22519900
2023-05-05,305.720001,311.970001,304.269989,310.649994,308.121155,28181200
2023-05-08,310.130005,310.200012,306.089996,308.649994,306.137421,21318600
2023-05-09,308.000000,310.040009,306.309998,307.000000,304.500885,21340800
